


商品名称 ：铜                  2020-02-13,
会员类别,总成交量,比上交易日增减,会员类别,总持买单量,比上交易日增减,会员类别,总持卖单量,比上交易日增减,
期货公司  ,253518,41069,期货公司  ,347786,10783,期货公司  ,341642,10183,
非期货公司,1570,-617,非期货公司,1873,233,非期货公司,8017,833,
合约代码 ：cu2002                        2020-02-13,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,申万期货  ,971,-609,1,国投安信  ,2369,-5,1,中信期货  ,5744,-53,
2,银河期货  ,761,713,2,华泰期货  ,1918,-23,2,国信期货  ,2303,2,
3,东证期货  ,710,206,3,上海中期  ,1843,1,3,国投安信  ,2143,14,
4,国富期货  ,529,-454,4,中信期货  ,1708,47,4,银河期货  ,1800,0,
5,倍特期货  ,525,-19,5,国信期货  ,1669,2,5,南华期货  ,1727,34,
6,海通期货  ,450,204,6,云晨期货  ,1270,0,6,一德期货  ,1650,17,
7,中信期货  ,366,-81,7,海通期货  ,1243,368,7,东亚期货  ,1606,-25,
8,中辉期货  ,295,-445,8,首创期货  ,1198,0,8,广州期货  ,1450,0,
9,华泰期货  ,272,-99,9,方正中期  ,940,0,9,上海中期  ,1085,0,
10,南华期货  ,199,-241,10,中信建投  ,886,0,10,光大期货  ,870,0,
11,方正中期  ,184,-251,11,东海期货  ,764,0,11,建信期货  ,864,40,
12,新晟期货  ,128,128,12,银河期货  ,764,745,12,中粮期货  ,847,0,
13,铜冠金源  ,120,120,13,倍特期货  ,732,-483,13,申万期货  ,568,38,
14,国金期货  ,80,-3,14,英大期货  ,690,-43,14,方正中期  ,539,0,
15,天富期货  ,76,-172,15,中粮期货  ,660,0,15,国泰君安  ,447,0,
16,国信期货  ,64,43,16,兴业期货  ,653,0,16,国金期货  ,409,0,
17,招商期货  ,59,-21,17,长江期货  ,624,0,17,鲁证期货  ,404,0,
18,先融期货  ,58,24,18,广发期货  ,581,0,18,首创期货  ,381,0,
19,金元期货  ,55,21,19,新湖期货  ,566,0,19,华泰期货  ,356,-15,
20,宏源期货  ,50,-138,20,东证期货  ,565,42,20,先融期货  ,330,50,
合计,,5952,-1074,合计,,21643,651,合计,,25523,102,
商品名称 ：锌                  2020-02-13,
会员类别,总成交量,比上交易日增减,会员类别,总持买单量,比上交易日增减,会员类别,总持卖单量,比上交易日增减,
期货公司  ,218942,-19379,期货公司  ,187760,-27,期货公司  ,189520,-27,
非期货公司,0,-315,非期货公司,1960,0,非期货公司,200,0,
合约代码 ：zn2002                        2020-02-13,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,中粮期货  ,2260,2085,1,国海良时  ,800,520,1,华泰期货  ,1635,0,
2,格林大华  ,1310,1080,2,永安期货  ,635,180,2,中粮期货  ,1215,-15,
3,建信期货  ,1235,1095,3,国贸期货  ,580,100,3,南华期货  ,1150,-325,
4,国金期货  ,1130,-145,4,中信期货  ,555,175,4,铜冠金源  ,900,100,
5,国海良时  ,625,210,5,一德期货  ,535,-555,5,金瑞期货  ,655,80,
6,一德期货  ,585,-100,6,国泰君安  ,530,250,6,国海良时  ,575,75,
7,大有期货  ,530,245,7,国投安信  ,470,470,7,中信期货  ,410,-60,
8,国投安信  ,490,490,8,迈科期货  ,465,0,8,迈科期货  ,355,15,
9,鲁证期货  ,355,285,9,华泰期货  ,390,-125,9,建信期货  ,195,-40,
10,南华期货  ,325,270,10,中粮期货  ,280,5,10,国泰君安  ,165,25,
11,国泰君安  ,275,-105,11,首创期货  ,255,-25,11,五矿经易  ,160,-175,
12,中信期货  ,265,-1185,12,国金期货  ,200,-970,12,国金期货  ,145,130,
