

商品名称 ：铜                  2020-03-13,
会员类别,总成交量,比上交易日增减,会员类别,总持买单量,比上交易日增减,会员类别,总持卖单量,比上交易日增减,
期货公司  ,569826,88798,期货公司  ,400920,-5316,期货公司  ,399175,-5188,
非期货公司,1452,512,非期货公司,3929,-74,非期货公司,5674,-202,
合约代码 ：cu2003                        2020-03-13,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
9,国泰君安  ,2179,666,9,兴业期货  ,2700,-50,9,华泰期货  ,3257,413,
10,申万期货  ,2104,503,10,上海中期  ,2552,136,10,信达期货  ,2781,-36,
11,中粮期货  ,2056,65,11,海通期货  ,2548,25,11,海通期货  ,2507,20,
12,国海良时  ,1994,1536,12,广州期货  ,2414,-16,12,鲁证期货  ,2354,223,
13,国贸期货  ,1974,806,13,永安期货  ,2413,-205,13,国海良时  ,2294,309,
14,五矿经易  ,1949,-975,14,首创期货  ,2296,-328,14,广发期货  ,2235,-24,
15,美尔雅    ,1783,1540,15,国联期货  ,2214,-2,15,银河期货  ,2184,117,
16,金瑞期货  ,1622,1057,16,金瑞期货  ,2039,277,16,华信期货  ,2073,0,
17,中国国际  ,1513,490,17,申万期货  ,1976,93,17,瑞达期货  ,1872,28,
18,华闻期货  ,1477,713,18,一德期货  ,1929,209,18,金瑞期货  ,1837,-673,
19,一德期货  ,1435,94,19,建信期货  ,1876,-350,19,国贸期货  ,1695,88,
20,建信期货  ,1400,848,20,南华期货  ,1804,-245,20,一德期货  ,1405,-158,
合计,,67594,25080,合计,,75044,1192,合计,,87464,-621,
合约代码 ：al2005                        2020-03-13,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,海通期货  ,29523,8696,1,中信期货  ,11913,-876,1,中信期货  ,19239,1337,
