					郑州商品交易所期货持仓排名表(2020-03-04)

品种：苹果AP              日期： 2020-03-04
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
4     |中信期货      |46,076      |-12,354   |华泰期货      |19,300    |4,180     |中信期货      |18,905    |-1,745    
5     |东吴期货      |42,138      |22,102    |东证期货      |17,631    |-2,160    |兴证期货      |18,775    |385       
6     |兴证期货      |39,710      |-2,023    |永安期货      |17,498    |-89       |广发期货      |18,098    |276       
7     |光大期货      |38,022      |-13,488   |国投安信期货  |16,073    |879       |南华期货      |16,259    |694       
8     |华安期货      |35,909      |3,745     |宏源期货      |12,744    |752       |华泰期货      |15,163    |7,154     
9     |华西期货      |35,885      |-12,050   |方正中期      |12,150    |1,053     |光大期货      |14,840    |-217      
10    |徽商期货      |33,072      |-5,946    |徽商期货      |10,939    |-865      |东证期货      |13,384    |530       
11    |国富期货      |32,518      |-14,257   |国泰君安      |10,658    |236       |摩根大通      |12,489    |0         
12    |广发期货      |31,829      |4,852     |长江期货      |10,247    |411       |中国国际      |12,204    |162       
13    |冠通期货      |23,352      |-17,417   |上海大陆      |10,015    |1,352     |徽商期货      |11,215    |-617      
14    |海通期货      |22,475      |-8,754    |广发期货      |9,484     |975       |五矿经易期货  |10,966    |-22       
15    |国泰君安      |20,859      |-9,807    |申银万国      |9,472     |989       |海通期货      |8,164     |-141      
16    |中信建投      |17,601      |-18,404   |光大期货      |8,875     |391       |国泰君安      |8,083     |-389      
17    |东方财富      |16,462      |-576      |华安期货      |8,162     |1,079     |国海良时      |7,115     |182       
18    |华信期货      |15,547      |5,667     |新湖期货      |7,166     |533       |新晟期货      |5,591     |3         
19    |银河期货      |14,859      |373       |兴证期货      |6,649     |-111      |申银万国      |5,195     |258       
20    |方正中期      |14,675      |4,508     |中辉期货      |6,469     |494       |平安期货      |5,121     |280       
合计  |              |896538      |-59878    |                |267170    |7974      |              |337583    |9549      

品种：菜籽RS              日期： 2020-03-04
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
1     |东航期货      |7           |7         |徽商期货      |3         |1         |瑞达期货      |4         |0         
2     |华泰期货      |6           |6         |美尔雅        |2         |0         |光大期货      |3         |0         
3     |海通期货      |4           |4         |东证期货      |2         |0         |中信期货      |2         |0         
4     |方正中期      |3           |3         |国泰君安      |2         |1         |迈科期货      |1         |0         
5     |银河期货      |2           |2         |招商期货      |1         |1         |东证期货      |1         |0         
6     |德盛期货      |2           |-2        |海通期货      |1         |0         |永安期货      |1         |0         
7     |招商期货      |1           |1         |新晟期货      |1         |0         |德盛期货      |1         |1         
8     |格林大华期货  |1           |0         |平安期货      |1         |0         |华泰期货      |0         |0         
9     |徽商期货      |1           |1         |华泰期货      |0         |0         |招商期货      |0         |0         
10    |国泰君安      |1           |1         |格林大华期货  |0         |-1        |格林大华期货  |0         |0         
11    |中信期货      |0           |0         |方正中期      |0         |-1        |徽商期货      |0         |0         
12    |中原期货      |0           |-1        |银河期货      |0         |0         |方正中期      |0         |0         
13    |迈科期货      |0           |0         |中信期货      |0         |0         |银河期货      |0         |0         
14    |美尔雅        |0           |0         |中原期货      |0         |0         |海通期货      |0         |0         
15    |东证期货      |0           |0         |迈科期货      |0         |0         |中原期货      |0         |0         
16    |光大期货      |0           |0         |光大期货      |0         |0         |美尔雅        |0         |0         
17    |瑞达期货      |0           |-4        |瑞达期货      |0         |0         |东航期货      |0         |-2        
18    |广发期货      |0           |-2        |东航期货      |0         |-1        |广发期货      |0         |0         
19    |永安期货      |0           |0         |广发期货      |0         |0         |国泰君安      |0         |0         
20    |新晟期货      |0           |0         |永安期货      |0         |0         |新晟期货      |0         |0         
合计  |              |28          |16        |                |13        |0         |              |13        |-1        

品种：纯碱SA              日期： 2020-03-04
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
1     |海通期货      |1,174       |-1,529    |永安期货      |3,365     |-4        |永安期货      |3,550     |-148      
2     |华泰期货      |1,073       |-553      |中信期货      |2,733     |-5        |美尔雅        |2,115     |135       
3     |光大期货      |787         |-1,459    |海证期货      |2,130     |17        |方正中期      |2,080     |-8        
4     |华安期货      |586         |-351      |一德期货      |2,024     |3         |华金期货      |1,685     |51        
5     |东方财富      |558         |-496      |方正中期      |1,523     |-18       |广州期货      |1,588     |-10       
6     |新湖期货      |544         |-815      |东证期货      |1,025     |94        |海通期货      |1,507     |-56       
7     |浙商期货      |487         |-528      |东方财富      |808       |13        |浙商期货      |1,420     |-235      
8     |国投安信期货  |485         |-43       |新湖期货      |576       |-5        |弘业期货      |1,161     |24        
