					郑州商品交易所期货持仓排名表(2020-02-19)

品种：苹果AP              日期： 2020-02-19
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
19    |金瑞期货      |5,531       |1,162     |申银万国      |2,660     |-124      |永安期货      |2,185     |-4        
20    |鲁证期货      |5,525       |2,446     |宏源期货      |2,589     |-102      |徽商期货      |2,170     |-82       
合计  |              |358930      |22238     |                |92005     |-650      |              |108763    |80        

品种：普麦PM              日期： 2020-02-19
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
1     |中国国际      |6           |6         |中国国际      |13        |6         |天风期货      |39        |2         
2     |永安期货      |4           |2         |广州期货      |10        |0         |中州期货      |9         |0         
3     |海通期货      |3           |3         |鲁证期货      |5         |0         |方正中期      |3         |2         
4     |方正中期      |2           |-10       |中信期货      |3         |0         |国投安信期货  |0         |0         
5     |天风期货      |2           |-1        |海通期货      |3         |3         |盛达期货      |0         |0         
6     |安粮期货      |1           |0         |东证期货      |3         |0         |徽商期货      |0         |0         
7     |国投安信期货  |0           |0         |国投安信期货  |2         |0         |申银万国      |0         |0         
8     |盛达期货      |0           |0         |申银万国      |2         |0         |中信期货      |0         |0         
9     |徽商期货      |0           |-1        |中州期货      |2         |0         |鲁证期货      |0         |0         
10    |申银万国      |0           |-1        |中信建投      |2         |0         |海通期货      |0         |0         
11    |中信期货      |0           |0         |恒泰期货      |2         |0         |东证期货      |0         |0         
12    |鲁证期货      |0           |-5        |东方财富      |2         |0         |安粮期货      |0         |0         
13    |东证期货      |0           |0         |盛达期货      |1         |0         |中国国际      |0         |0         
14    |东航期货      |0           |-6        |国泰君安      |1         |0         |东航期货      |0         |0         
15    |中投天琪      |0           |-1        |徽商期货      |0         |0         |中投天琪      |0         |0         
16    |中州期货      |0           |0         |方正中期      |0         |0         |中信建投      |0         |0         
17    |中信建投      |0           |0         |安粮期货      |0         |-1        |东吴期货      |0         |0         
18    |东吴期货      |0           |-5        |东航期货      |0         |0         |国泰君安      |0         |0         
19    |国泰君安      |0           |0         |中投天琪      |0         |0         |永安期货      |0         |0         
20    |宏源期货      |0           |-2        |天风期货      |0         |0         |宏源期货      |0         |0         
合计  |              |18          |-21       |                |51        |8         |              |51        |4         

品种：早籼RI              日期： 2020-02-19
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
1     |方正中期      |10          |-7        |东证期货      |10        |1         |江西瑞奇      |31        |1         
2     |东航期货      |5           |-39       |国泰君安      |5         |2         |广发期货      |2         |2         
3     |鲁证期货      |4           |-31       |国贸期货      |4         |4         |中粮期货      |1         |0         
4     |国贸期货      |4           |4         |中信建投      |2         |2         |东航期货      |1         |1         
5     |华联期货      |4           |3         |宏源期货      |2         |0         |华泰期货      |0         |0         
6     |东证期货      |3           |-6        |平安期货      |2         |-1        |徽商期货      |0         |0         
7     |中州期货      |2           |2         |华泰期货      |1         |0         |华龙期货      |0         |0         
8     |中信建投      |2           |2         |申银万国      |1         |0         |申银万国      |0         |0         
9     |广发期货      |2           |2         |方正中期      |1         |0         |方正中期      |0         |0         
10    |国泰君安      |2           |-1        |鲁证期货      |1         |0         |中信期货      |0         |0         
11    |华安期货      |2           |2         |浙商期货      |1         |0         |鲁证期货      |0         |0         
12    |海证期货      |2           |2         |金鹏期货      |1         |1         |西南期货      |0         |0         
13    |江西瑞奇      |1           |-28       |中大期货      |1         |0         |大地期货      |0         |0         
14    |徽商期货      |1           |-2        |南华期货      |1         |1         |国贸期货      |0         |0         
15    |中信期货      |1           |1         |财达期货      |1         |1         |东证期货      |0         |0         
16    |金鹏期货      |1           |1         |东方财富      |1         |0         |光大期货      |0         |0         
17    |中国国际      |1           |-2        |江西瑞奇      |0         |0         |浙商期货      |0         |0         
18    |南华期货      |1           |1         |徽商期货      |0         |-1        |瑞达期货      |0         |0         
19    |财达期货      |1           |-1        |华龙期货      |0         |0         |华联期货      |0         |0         
20    |平安期货      |1           |-5        |中信期货      |0         |-1        |金鹏期货      |0         |0         
合计  |              |50          |-102      |                |35        |9         |              |35        |4         

品种：菜粕RM              日期： 2020-02-19
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
1     |东证期货      |103,629     |-66,804   |银河期货      |19,354    |139       |中粮期货      |64,701    |628       
2     |华泰期货      |29,710      |-29,352   |永安期货      |17,843    |60        |国投安信期货  |30,688    |1,606     
3     |新湖期货      |23,524      |-20,603   |中信期货      |15,680    |-352      |永安期货      |18,316    |-214      
4     |中信期货      |21,644      |-7,475    |五矿经易期货  |14,166    |49        |广发期货      |17,370    |591       
5     |国富期货      |20,713      |-5,900    |南华期货      |10,405    |513       |中信期货      |16,543    |-2,532    
6     |华西期货      |19,347      |-18,156   |华安期货      |10,182    |48        |南华期货      |14,724    |56        
7     |光大期货      |18,647      |-17,659   |东证期货      |9,733     |-317      |东证期货      |13,182    |392       
8     |海通期货      |17,118      |-9,052    |徽商期货      |9,678     |534       |光大期货      |11,786    |215       
9     |兴证期货      |16,069      |-12,657   |广发期货      |9,421     |-491      |五矿经易期货  |10,815    |204       
10    |徽商期货      |15,297      |-4,627    |长江期货      |9,046     |-185      |中国国际      |9,654     |-149      
11    |华安期货      |14,045      |-8,284    |方正中期      |8,387     |-1,485    |华泰期货      |9,647     |471       
12    |广发期货      |13,638      |-3,398    |华泰期货      |8,380     |-513      |兴证期货      |9,596     |613       
13    |盛达期货      |13,348      |1,824     |国投安信期货  |7,971     |-263      |摩根大通      |8,589     |400       
14    |冠通期货      |12,182      |-9,050    |宏源期货      |7,640     |-523      |海通期货      |7,993     |55        
15    |格林大华期货  |10,114      |4,742     |国泰君安      |7,282     |327       |徽商期货      |7,906     |451       
16    |国泰君安      |9,381       |-3,184    |新湖期货      |6,662     |332       |国泰君安      |6,594     |-120      
17    |方正中期      |8,496       |1,453     |申银万国      |6,588     |195       |国海良时      |6,066     |216       
18    |东吴期货      |7,765       |-15,031   |兴证期货      |6,561     |-310      |申银万国      |5,565     |360       
19    |国投安信期货  |7,147       |-3,772    |光大期货      |6,480     |718       |新晟期货      |5,355     |-55       
20    |银河期货      |6,931       |-1,619    |大越期货      |6,451     |-39       |东吴期货      |4,000     |632       
合计  |              |388745      |-228604   |                |197910    |-1563     |              |279090    |3820      

品种：菜籽RS              日期： 2020-02-19
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
1     |华泰期货      |0           |-1        |徽商期货      |2         |0         |光大期货      |3         |0         
2     |国投安信期货  |0           |0         |美尔雅        |2         |0         |中信期货      |2         |0         
3     |徽商期货      |0           |0         |东证期货      |2         |0         |中原期货      |1         |0         
4     |中信期货      |0           |0         |国投安信期货  |1         |0         |东证期货      |1         |0         
5     |中原期货      |0           |0         |国泰君安      |1         |0         |永安期货      |1         |0         
6     |美尔雅        |0           |0         |华泰期货      |0         |0         |华泰期货      |0         |0         
7     |东证期货      |0           |0         |中信期货      |0         |0         |国投安信期货  |0         |0         
8     |光大期货      |0           |0         |中原期货      |0         |0         |徽商期货      |0         |0         
9     |国泰君安      |0           |0         |光大期货      |0         |0         |美尔雅        |0         |0         
10    |永安期货      |0           |0         |永安期货      |0         |0         |国泰君安      |0         |0         
11    |德盛期货      |0           |-1        |德盛期货      |0         |0         |德盛期货      |0         |0         
合计  |              |0           |-2        |                |8         |0         |              |8         |0         

品种：纯碱SA              日期： 2020-02-19
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
1     |方正中期      |842         |485       |永安期货      |3,034     |-177      |永安期货      |2,699     |28        
2     |海通期货      |819         |-409      |海证期货      |2,598     |199       |海通期货      |1,704     |23        
