交易日	合约	会员类别	总成交量	比上交易日增减	总持买单量	比上交易日增减	总持卖单量	比上一交易日增减			
20200302	IH2006                        	1	国投安信	1333	5	中信期货	2412	130	瑞银期货	2701	-62
20200302	IH2006                        	2	国信期货	1297	62	国投安信	747	27	华泰期货	1355	30
20200302	IH2006                        	3	海通期货	1262	165	银河期货	690	1	招商期货	1331	17
20200302	IH2006                        	4	中信期货	1252	94	东吴期货	651	29	中信期货	1128	44
20200302	IH2006                        	5	国泰君安	843	117	国信期货	645	-32	海通期货	674	-278
20200302	IH2006                        	6	华西期货	716	-291	上海东证	645	45	国泰君安	617	39
20200302	IH2006                        	7	华泰期货	532	-167	天风期货	532	16	宝城期货	598	9
20200302	IH2006                        	8	五矿经易	531	-1037	申银万国	482	49	国信期货	576	-43
20200302	IH2006                        	9	上海东证	453	-105	华泰期货	473	-12	国元期货	566	3
20200302	IH2006                        	10	光大期货	423	-153	海通期货	465	-126	国投安信	504	-12
20200302	IH2006                        	11	西部期货	384	-43	大越期货	435	3	银河期货	456	44
20200302	IH2006                        	12	银河期货	369	-575	永安期货	374	-11	南华期货	401	35
20200302	IH2006                        	13	上海中期	346	-72	国泰君安	358	46	永安期货	333	-4
20200302	IH2006                        	14	兴证期货	344	-50	大地期货	348	2	上海东证	291	88
20200302	IH2006                        	15	广发期货	298	-38	广发期货	330	-34	华西期货	280	86
20200302	IH2006                        	16	华闻期货	290	0	方正中期	315	-52	东吴期货	217	116
20200302	IH2006                        	17	方正中期	288	25	华西期货	256	60	光大期货	216	-191
20200302	IH2006                        	18	招商期货	251	-8	兴证期货	244	40	兴证期货	201	44
20200302	IH2006                        	19	申银万国	218	-72	五矿经易	192	-95	金元期货	127	0
20200302	IH2006                        	20	东吴期货	199	-329	国富期货	185	-8	五矿经易	122	-104
交易日	合约	会员类别	总成交量	比上交易日增减	总持买单量	比上交易日增减	总持卖单量	比上一交易日增减			
20200302	T2003                         	期货公司	290	-562	210	-73	210	-73			
20200302	T2003                         	非期货公司	0	0	0	0	0	0			
20200302	T2006                         	期货公司	116186	-4022	64454	147	64454	147			
20200302	T2006                         	非期货公司	0	0	0	0	0	0			
交易日	合约	排名	成交量排名			持买单量排名			持卖单量排名		
			会员简称	成交量	比上一交易日增减	会员简称	持买单量	比上一交易日增减	会员简称	持卖单量	比上一交易日增减
20200302	T2003                         	1	国金期货	88	-97	华安期货	180	9	第一创业	135	-17
20200302	T2003                         	2	国泰君安	75	-10	上海东证	17	-8	国金期货	45	-56
20200302	T2003                         	3	中信期货	46	-96	南华期货	8	0	格林大华	30	0
20200302	T2003                         	4	上海东证	28	-81	中信期货	5	2	国泰君安	0	0
20200302	T2003                         	5	第一创业	17	17	国泰君安	0	-75	南华期货	0	0
20200302	T2003                         	6	银河期货	16	-10	华泰期货	0	0	华泰期货	0	0
20200302	T2003                         	7	华泰期货	10	-35	格林大华	0	0	中信期货	0	0
20200302	T2003                         	8	华安期货	9	-152	银河期货	0	0	银河期货	0	0
20200302	T2003                         	9	中辉期货	1	-2	国金期货	0	0	华安期货	0	0
