交易日	合约	会员类别	总成交量	比上交易日增减	总持买单量	比上交易日增减	总持卖单量	比上一交易日增减			
交易日	合约	排名	成交量排名			持买单量排名			持卖单量排名		
			会员简称	成交量	比上一交易日增减	会员简称	持买单量	比上一交易日增减	会员简称	持卖单量	比上一交易日增减
20200313	T2003                         	1	银河期货	1	-20	南华期货	0	-8	南华期货	0	0
20200313	T2003                         	2	国金期货	1	-50	永安期货	0	-10	永安期货	0	-20
20200313	T2003                         	3	南华期货	0	0	中信期货	0	-58	中信期货	0	0
20200313	T2003                         	4	永安期货	0	-21	银河期货	0	0	银河期货	0	-1
20200313	T2003                         	5	中信期货	0	-65	国金期货	0	0	国金期货	0	-95
20200313	T2003                         	6	华安期货	0	0	华安期货	0	-40	华安期货	0	0
20200313	T2006                         	1	中信期货	24675	10660	中信期货	15777	52	中信期货	9694	-141
20200313	T2006                         	2	上海东证	20759	2281	国泰君安	5824	-1588	国泰君安	8261	580
20200313	T2006                         	3	国泰君安	16800	8470	国投安信	5120	-80	华泰期货	6322	823
20200313	T2006                         	4	方正中期	9726	5394	华泰期货	4657	385	永安期货	6243	-439
20200313	T2006                         	5	国金期货	9561	4063	上海东证	3529	130	银河期货	4008	241
20200313	T2006                         	6	国投安信	8080	1209	永安期货	3246	363	海通期货	3411	103
20200313	T2006                         	7	华泰期货	7034	2635	国金期货	2757	688	乾坤期货	3399	721
20200313	T2006                         	8	海通期货	6441	1207	天风期货	2654	38	国金期货	2718	653
20200313	T2006                         	9	申银万国	5503	2600	渤海期货	2140	162	上海东证	2634	-199
20200313	T2006                         	10	银河期货	4774	2571	海通期货	1677	66	天风期货	2435	-142
20200313	T2006                         	11	格林大华	3696	304	广发期货	1656	238	平安期货	2399	-423
20200313	T2006                         	12	华安期货	3363	1362	银河期货	1619	-211	国投安信	1645	-22
20200313	T2006                         	13	永安期货	3094	1017	兴证期货	1306	512	格林大华	1628	277
20200313	T2006                         	14	东海期货	2839	-3	中融汇信	1271	-1	浙商期货	1341	549
20200313	T2006                         	15	广发期货	2794	1264	鲁证期货	1208	9	和融期货	1340	200
20200313	T2006                         	16	平安期货	2622	1152	长江期货	1156	-17	广发期货	1282	-102
20200313	T2006                         	17	徽商期货	2320	805	国信期货	1148	-68	第一创业	1124	392
20200313	T2006                         	18	金瑞期货	2293	802	新湖期货	1094	-11	宏源期货	1010	-327
